date,position,row_sum,expected,delta,file
2008-06-15,1,36.0,37,-1.0,daily
2008-06-15,2,36.0,37,-1.0,daily
2008-06-15,3,36.0,37,-1.0,daily
2008-06-15,4,36.0,37,-1.0,daily
2008-06-22,1,36.0,37,-1.0,daily
2008-06-22,2,36.0,37,-1.0,daily
2008-06-22,3,36.0,37,-1.0,daily
2008-06-22,4,36.0,37,-1.0,daily
2008-06-29,1,36.0,37,-1.0,daily
2008-06-29,2,36.0,37,-1.0,daily
2008-06-29,3,36.0,37,-1.0,daily
2008-06-29,4,36.0,37,-1.0,daily
2008-07-06,1,36.0,37,-1.0,daily
2008-07-06,2,36.0,37,-1.0,daily
2008-07-06,3,36.0,37,-1.0,daily
2008-07-06,4,36.0,37,-1.0,daily
2008-07-13,1,36.0,37,-1.0,daily
2008-07-13,2,36.0,37,-1.0,daily
2008-07-13,3,36.0,37,-1.0,daily
2008-07-13,4,36.0,37,-1.0,daily
2008-07-20,1,36.0,37,-1.0,daily
2008-07-20,2,36.0,37,-1.0,daily
2008-07-20,3,36.0,37,-1.0,daily
2008-07-20,4,36.0,37,-1.0,daily
2008-07-27,1,36.0,37,-1.0,daily
2008-07-27,2,36.0,37,-1.0,daily
2008-07-27,3,36.0,37,-1.0,daily
2008-07-27,4,36.0,37,-1.0,daily
2008-08-03,1,36.0,37,-1.0,daily
2008-08-03,2,36.0,37,-1.0,daily
2008-08-03,3,36.0,37,-1.0,daily
2008-08-03,4,36.0,37,-1.0,daily
2008-08-10,1,36.0,37,-1.0,daily
2008-08-10,2,36.0,37,-1.0,daily
2008-08-10,3,36.0,37,-1.0,daily
2008-08-10,4,36.0,37,-1.0,daily
2008-08-17,1,36.0,37,-1.0,daily
2008-08-17,2,36.0,37,-1.0,daily
2008-08-17,3,36.0,37,-1.0,daily
2008-08-17,4,36.0,37,-1.0,daily
2008-08-24,1,36.0,37,-1.0,daily
2008-08-24,2,36.0,37,-1.0,daily
2008-08-24,3,36.0,37,-1.0,daily
2008-08-24,4,36.0,37,-1.0,daily
2008-08-31,1,36.0,37,-1.0,daily
2008-08-31,2,36.0,37,-1.0,daily
2008-08-31,3,36.0,37,-1.0,daily
2008-08-31,4,36.0,37,-1.0,daily
2008-09-07,1,36.0,37,-1.0,daily
2008-09-07,2,36.0,37,-1.0,daily
2008-09-07,3,36.0,37,-1.0,daily
2008-09-07,4,36.0,37,-1.0,daily
2008-09-14,1,36.0,37,-1.0,daily
2008-09-14,2,36.0,37,-1.0,daily
2008-09-14,3,36.0,37,-1.0,daily
2008-09-14,4,36.0,37,-1.0,daily
2008-09-21,1,36.0,37,-1.0,daily
2008-09-21,2,36.0,37,-1.0,daily
2008-09-21,3,36.0,37,-1.0,daily
2008-09-21,4,36.0,37,-1.0,daily
2008-09-28,1,36.0,37,-1.0,daily
2008-09-28,2,36.0,37,-1.0,daily
2008-09-28,3,36.0,37,-1.0,daily
2008-09-28,4,36.0,37,-1.0,daily
2008-10-05,1,36.0,37,-1.0,daily
2008-10-05,2,36.0,37,-1.0,daily
2008-10-05,3,36.0,37,-1.0,daily
2008-10-05,4,36.0,37,-1.0,daily
2008-10-12,1,36.0,37,-1.0,daily
2008-10-12,2,36.0,37,-1.0,daily
2008-10-12,3,36.0,37,-1.0,daily
2008-10-12,4,36.0,37,-1.0,daily
2008-10-19,1,36.0,37,-1.0,daily
2008-10-19,2,36.0,37,-1.0,daily
2008-10-19,3,36.0,37,-1.0,daily
2008-10-19,4,36.0,37,-1.0,daily
2008-10-26,1,36.0,37,-1.0,daily
2008-10-26,2,36.0,37,-1.0,daily
2008-10-26,3,36.0,37,-1.0,daily
2008-10-26,4,36.0,37,-1.0,daily
2008-11-02,1,36.0,37,-1.0,daily
